Alarm ID,"Ticker, Name",Name,Beschreibung,Zeit,Webhook-Status
4372816944,"BATS:GLE, 1T",Sniper-Alarm,"🌟 GOLDEN SETUP SHORT 🌟 GLE
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:47:29
TICKER: GLE
STATUS: 🌟 GOLDEN SETUP (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Technology Services (XLK)
Rel. Stärke: STARK
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: SHORT (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 163 Bars ago
Vacuum Quality: High (TP 1.9%)
Momentum (WPR): 19.6
Kerzenregel: OK ✅
Stopversicherung: 3%
TP Widerstand: 1.9%

--- ORDER-MATRIX ---
Stoppreis (SP): 0.38
Limitpreis (LP): 0.38
Anzahl (Stk): 1529
TP (Teilverkauf): 0.32
Stopp-Loss (SL): 0.45
Runner-Target: EMA 21: 0.39

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T19:43:17Z,
4372818726,"BATS:GLE, 1T",Sniper-Alarm 2,"🟢 FEUER FREI SHORT 🟢 GLE
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:43:17
TICKER: GLE
STATUS: 🟢 FEUER FREI (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Technology Services (XLK)
Rel. Stärke: STARK
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: SHORT (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 163 Bars ago
Vacuum Quality: High (TP 1.9%)
Momentum (WPR): 19.6
Kerzenregel: OK ✅
Stopversicherung: 3%
TP Widerstand: 1.9%

--- ORDER-MATRIX ---
Stoppreis (SP): 0.38
Limitpreis (LP): 0.38
Anzahl (Stk): 1529
TP (Teilverkauf): 0.32
Stopp-Loss (SL): 0.45
Runner-Target: EMA 21: 0.39

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T19:43:17Z,
4372816944,"BATS:GLE, 1T",Sniper-Alarm,"🟢 FEUER FREI SHORT 🟢 GLE
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:43:17
TICKER: GLE
STATUS: 🟢 FEUER FREI (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Technology Services (XLK)
Rel. Stärke: STARK
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: SHORT (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 163 Bars ago
Vacuum Quality: High (TP 1.9%)
Momentum (WPR): 17.4
Kerzenregel: OK ✅
Stopversicherung: 3%
TP Widerstand: 1.9%

--- ORDER-MATRIX ---
Stoppreis (SP): 0.38
Limitpreis (LP): 0.38
Anzahl (Stk): 1529
TP (Teilverkauf): 0.32
Stopp-Loss (SL): 0.45
Runner-Target: EMA 21: 0.39

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T19:43:16Z,
4372816944,"BATS:TRGP, 1T",Sniper-Alarm,"🟢 FEUER FREI LONG 🟢 TRGP
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:25:06
TICKER: TRGP
STATUS: 🟢 FEUER FREI (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Utilities (XLU)
Rel. Stärke: STARK
Weinstein Stage: STAGE 2 OK Long ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BULLISCH ⬆️ (Sticky)
Tagestrend: LONG (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 80 Bars ago
Vacuum Quality: High (TP 8.1%)
Momentum (WPR): 83.6
Kerzenregel: OK ✅
Stopversicherung: 15.3%
TP Widerstand: 8.1%

--- ORDER-MATRIX ---
Stoppreis (SP): 250.31
Limitpreis (LP): 250.81
Anzahl (Stk): 7
TP (Teilverkauf): 263.71
Stopp-Loss (SL): 236.91
Runner-Target: EMA 21: 241.18

--- ZUSATZ-INFO ---
Bollinger Check: LONG ZONE",2026-04-02T19:24:48Z,
4372818726,"BATS:TRGP, 1T",Sniper-Alarm 2,"🟢 FEUER FREI LONG 🟢 TRGP
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:24:55
TICKER: TRGP
STATUS: 🟢 FEUER FREI (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Utilities (XLU)
Rel. Stärke: STARK
Weinstein Stage: STAGE 2 OK Long ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BULLISCH ⬆️ (Sticky)
Tagestrend: LONG (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 80 Bars ago
Vacuum Quality: High (TP 8.1%)
Momentum (WPR): 83.2
Kerzenregel: OK ✅
Stopversicherung: 15.3%
TP Widerstand: 8.1%

--- ORDER-MATRIX ---
Stoppreis (SP): 250.31
Limitpreis (LP): 250.81
Anzahl (Stk): 7
TP (Teilverkauf): 263.71
Stopp-Loss (SL): 236.91
Runner-Target: EMA 21: 241.19

--- ZUSATZ-INFO ---
Bollinger Check: LONG ZONE",2026-04-02T19:24:33Z,
4372816944,"BATS:SWKS, 1T",Sniper-Alarm,"🟢 FEUER FREI SHORT 🟢 SWKS
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:24:17
TICKER: SWKS
STATUS: 🟢 FEUER FREI (ALPHA Mode)

--- MARKT-KONTEXT ---
Sektor: Halbleiter (SMH)
Rel. Stärke: MITTEL
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: NEUTRAL

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 70 Bars ago
Vacuum Quality: High (TP 8.6%)
Momentum (WPR): 0
Kerzenregel: OK ✅
Stopversicherung: 23.6%
TP Widerstand: 8.6%

--- ORDER-MATRIX ---
Stoppreis (SP): 52.32
Limitpreis (LP): 52.22
Anzahl (Stk): 21
TP (Teilverkauf): 47.63
Stopp-Loss (SL): 57.01
Runner-Target: EMA 21: 55.13

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T19:24:15Z,
4372818726,"BATS:SWKS, 1T",Sniper-Alarm 2,"🟢 FEUER FREI SHORT 🟢 SWKS
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:24:15
TICKER: SWKS
STATUS: 🟢 FEUER FREI (ALPHA Mode)

--- MARKT-KONTEXT ---
Sektor: Halbleiter (SMH)
Rel. Stärke: MITTEL
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: NEUTRAL

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 70 Bars ago
Vacuum Quality: High (TP 8.6%)
Momentum (WPR): 0
Kerzenregel: OK ✅
Stopversicherung: 23.6%
TP Widerstand: 8.6%

--- ORDER-MATRIX ---
Stoppreis (SP): 52.32
Limitpreis (LP): 52.22
Anzahl (Stk): 21
TP (Teilverkauf): 47.63
Stopp-Loss (SL): 57.01
Runner-Target: EMA 21: 55.13

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T19:24:14Z,
4372816944,"BATS:RIG, 1T",Sniper-Alarm,"🌟 GOLDEN SETUP LONG 🌟 RIG
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 19:21:04
TICKER: RIG
STATUS: 🌟 GOLDEN SETUP (ALPHA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Industrial Services (XLI)
Rel. Stärke: STARK
Weinstein Stage: STAGE 2 OK Long ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BULLISCH ⬆️ (Sticky)
Tagestrend: LONG (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): ALPHA (Full)
Anchor-Info: 124 Bars ago
Vacuum Quality: High (TP 4.5%)
Momentum (WPR): 81.9
Kerzenregel: OK ✅
Stopversicherung: 14.7%
TP Widerstand: 4.5%

--- ORDER-MATRIX ---
Stoppreis (SP): 7.02
Limitpreis (LP): 7.03
Anzahl (Stk): 122
TP (Teilverkauf): 7.83
Stopp-Loss (SL): 6.21
Runner-Target: EMA 21: 6.46

--- ZUSATZ-INFO ---
Bollinger Check: LONG ZONE",2026-04-02T19:21:02Z,
4372818726,"BATS:AI, 1T",Sniper-Alarm 2,"🟢 FEUER FREI SHORT 🟢 AI
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 18:19:42
TICKER: AI
STATUS: 🟢 FEUER FREI (DELTA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Technology Services (XLK)
Rel. Stärke: SCHWACH
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: SHORT (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): DELTA (Short-Bias)
Anchor-Info: 163 Bars ago
Vacuum Quality: High (TP 4.1%)
Momentum (WPR): 14.2
Kerzenregel: OK ✅
Stopversicherung: 2.4%
TP Widerstand: 4.1%

--- ORDER-MATRIX ---
Stoppreis (SP): 8.25
Limitpreis (LP): 8.23
Anzahl (Stk): 97
TP (Teilverkauf): 7.23
Stopp-Loss (SL): 9.27
Runner-Target: EMA 21: 8.71

--- ZUSATZ-INFO ---
Bollinger Check: SHORT ZONE",2026-04-02T18:19:34Z,
4372816944,"BATS:VRNS, 1T",Sniper-Alarm,"🟢 FEUER FREI SHORT 🟢 VRNS
=== AKJ 2.0 SNIPER AUDIT-PROTOKOLL ===
ZEITPUNKT: 2026-04-02 17:59:38
TICKER: VRNS
STATUS: 🟢 FEUER FREI (DELTA Mode) (MOMENTUM)

--- MARKT-KONTEXT ---
Sektor: Technology Services (XLK)
Rel. Stärke: SCHWACH
Weinstein Stage: STAGE 4 OK Short ✅

--- TREND-ANALYSE (v20.5) ---
Wochentrend: BÄRISCH ⬇️ (Sticky)
Tagestrend: SHORT (Scharf)

--- SNIPER METRIKEN ---
Risk-O-Meter (1R): 100 €
Risk-Mode (Adaptiv): DELTA (Short-Bias)
Anchor-Info: 99 Bars ago
Vacuum Quality: High (TP 8.1%)
Momentum (WPR): 0.6
Kerzenregel: OK ✅
Stopversicherung: 8.5%
TP Widerstand: 8.1%

--- ORDER-MATRIX ---
Stoppreis (SP): 20.86
Limitpreis (LP): 20.82
Anzahl (Stk): 35
TP (Teilverkauf): 18.05
Stopp-Loss (SL): 23.67
Runner-Target: EMA 21: 22.92

--- ZUSATZ-INFO ---
Bollinger Check: NEUTRAL",2026-04-02T17:59:35Z,
